LAT|LON|ROW|COL|SOURCE TYPE|BUSINESS NAME|BUSINESS ID|YEAR|WDW|FUEL TYPE|PURCHASE WEIGHT|MONTHLY PURCHASE|FUEL CONSUMPTION|CoBChP|CoBP|CoCh|FUEL ID|GROW RATE
4.66697929299|-74.0747862004|35.0|37.0|RESTAURANT|MI GRAN PARRILA BOYACENSE|C573|2011.0|7.0|CHARBROILING  WOOD|||1596.31944444|0.0|0.0|0.0|CW|0.0562088381942
4.67051560485|-74.0816557027|36.0|36.0|RESTAURANT|MI QUERIDO RABCHITO|C574|2013.0|7.0|CHARBROILING|25.0|100.0|2500.0|0.0|982.249097094|0.0|CBP|0.0562088381942
4.67051560485|-74.0816557027|36.0|36.0|RESTAURANT|MI QUERIDO RANCHITO|C575|2012.0|7.0|CHARBROILING  WOOD|||280.0|0.0|0.0|0.0|CW|0.0562088381942
4.669702|-74.082747|35.0|36.0|RESTAURANT|MI RANCHITO PARRILLA Y SAZÓN|C576|2011.0|7.0|CHARBROILING|||728.729691877|0.0|0.0|0.0|C|0.0562088381942
4.71476201355|-74.0699066331|40.0|37.0|MEAT CHARBROILING|MI RANCHITO QUERIDO|C577|2010.0|7.0|CHARBROILING|||728.729691877|0.0|0.0|0.0|C|0.0562088381942
4.70874761216|-74.1224586333|40.0|31.0|RESTAURANT|MI RANCHITO SANTANDEREANO|C578|2010.0|7.0|WOOD|||1383.33333333|0.0|0.0|0.0|W|0.0562088381942
4.61064166667|-74.0990527778|29.0|34.0|RESTAURANT|MI RICO CALI|C579|2011.0|7.0|CHARBROILING|20.0|112.0|2240.0|0.0|0.0|1653.59249511|CC|0.0562088381942
4.67703888889|-74.1364416667|36.0|30.0|MEAT CHARBROILING|AREPAS LIGHT|C58|2011.0|7.0|CHARBROILING|22.0|7.0|154.0|0.0|0.0|0.0|C|0.0562088381942
4.60544359586|-74.0727535729|28.0|37.0|MEAT CHARBROILING|MI TERRUÑO RESTAURANTE BAR|C580|2011.0|7.0|WOOD|||1383.33333333|0.0|0.0|0.0|W|0.0562088381942
4.756789|-74.106119|45.0|33.0|MEAT CHARBROILING|MIRA FLORES DOS|C581|2013.0|7.0|CHARBROILING|20.0||728.729691877|0.0|0.0|0.0|C|0.0562088381942
4.68814898475|-74.1045740736|37.0|33.0|RESTAURANT|MIS CARNECITAS 2|C582|2009.0|7.0|CHARBROILING|||728.729691877|0.0|0.0|0.0|C|0.0562088381942
