HOUR,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
MEAT CHARBROILING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.1,0.07,0.03,0.03,0.1,0.03,0.03,0.03,0.03,0.03,0.0,0.0
RESTAURANT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.25,0.15,0.1,0.09,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
PEDDLING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.08,0.07,0.05,0.05,0.2,0.1,0.08,0.08,0.07,0.07,0.0
