ID,FUELTYPE,WORKEDDAYS,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
C562,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6090662262,23.1799818992,10.5363554087,7.37544878612,3.16090662262,3.16090662262,10.5363554087,3.16090662262,3.16090662262,3.16090662262,3.16090662262,3.16090662262,0.0,0.0,0.0
C563,CHARBROILING,ALW,23,33,4.555199,-74.107463,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.670539119,120.02506202,54.5568463729,38.189792461,16.3670539119,16.3670539119,54.5568463729,16.3670539119,16.3670539119,16.3670539119,16.3670539119,16.3670539119,0.0,0.0,0.0
C249,CHARBROILING,ALW,28,35,4.6054803789,-74.0909372347,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.961975333,70.3797201778,61.5822551555,43.9873251111,43.9873251111,175.949300444,87.9746502222,70.3797201778,70.3797201778,61.5822551555,61.5822551555,0.0,0.0
C248,CHARBROILING,ALW,35,36,4.66842577464,-74.0797136427,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.48325286,137.48325286,491.011617356,294.606970414,196.404646942,176.764182248,196.404646942,196.404646942,196.404646942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C566,CHARBROILING,ALW,39,35,4.698217,-74.093819,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2908432701,61.8132850648,28.0969477567,19.6678634297,8.42908432701,8.42908432701,28.0969477567,8.42908432701,8.42908432701,8.42908432701,8.42908432701,8.42908432701,0.0,0.0,0.0
C567,CHARBROILING,ALW,31,26,4.63409072147,-74.1698222292,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.075951382,182.65569768,83.0253171274,58.1177219892,24.9075951382,24.9075951382,83.0253171274,24.9075951382,24.9075951382,24.9075951382,24.9075951382,24.9075951382,0.0,0.0,0.0
C564,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3599637985,33.9973067856,15.4533212662,10.8173248863,4.63599637985,4.63599637985,15.4533212662,4.63599637985,4.63599637985,4.63599637985,4.63599637985,4.63599637985,0.0,0.0,0.0
C565,CHARBROILING,ALW,22,33,4.54901388889,-74.1091,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1969649832,33.1444409877,15.0656549944,10.5459584961,4.51969649832,4.51969649832,15.0656549944,4.51969649832,4.51969649832,4.51969649832,4.51969649832,4.51969649832,0.0,0.0,0.0
C243,CHARBROILING,ALW,43,42,4.73726407239,-74.0232968736,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7907197358,54.7907197358,195.681141914,117.408685148,78.2724567655,70.4452110889,78.2724567655,78.2724567655,78.2724567655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C242,CHARBROILING,ALW,33,29,4.64459166667,-74.1478833333,SO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9714815003,52.7847901335,46.1866913668,32.9904938334,32.9904938334,131.961975334,65.9809876668,52.7847901335,52.7847901335,46.1866913668,46.1866913668,0.0,0.0
