ID,FUELTYPE,WORKEDDAYS,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
C562,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09274555818,0.801346742668,0.364248519395,0.254973963576,0.109274555818,0.109274555818,0.364248519395,0.109274555818,0.109274555818,0.109274555818,0.109274555818,0.109274555818,0.0,0.0,0.0
C563,CHARBROILING,ALW,23,33,4.555199,-74.107463,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.4958121738,34.8302622608,15.8319373913,11.0823561739,4.74958121738,4.74958121738,15.8319373913,4.74958121738,4.74958121738,4.74958121738,4.74958121738,4.74958121738,0.0,0.0,0.0
C249,CHARBROILING,ALW,28,35,4.6054803789,-74.0909372347,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4896215755,19.4611315069,17.0284900686,12.1632071918,12.1632071918,48.6528287673,24.3264143836,19.4611315069,19.4611315069,17.0284900686,17.0284900686,0.0,0.0
C248,CHARBROILING,ALW,35,36,4.66842577464,-74.0797136427,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8964822259,39.8964822259,142.487436521,85.4924619127,56.9949746085,51.2954771476,56.9949746085,56.9949746085,56.9949746085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C566,CHARBROILING,ALW,39,35,4.698217,-74.093819,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91398815515,2.13692464711,0.971329385049,0.679930569535,0.291398815515,0.291398815515,0.971329385049,0.291398815515,0.291398815515,0.291398815515,0.291398815515,0.291398815515,0.0,0.0,0.0
C567,CHARBROILING,ALW,31,26,4.63409072147,-74.1698222292,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2797436091,53.0051453133,24.0932478697,16.8652735088,7.22797436091,7.22797436091,24.0932478697,7.22797436091,7.22797436091,7.22797436091,7.22797436091,7.22797436091,0.0,0.0,0.0
C564,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60269348533,1.17530855591,0.534231161778,0.373961813245,0.160269348533,0.160269348533,0.534231161778,0.160269348533,0.160269348533,0.160269348533,0.160269348533,0.160269348533,0.0,0.0,0.0
C565,CHARBROILING,ALW,22,33,4.54901388889,-74.1091,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56248787532,1.1458244419,0.520829291773,0.364580504241,0.156248787532,0.156248787532,0.520829291773,0.156248787532,0.156248787532,0.156248787532,0.156248787532,0.156248787532,0.0,0.0,0.0
C243,CHARBROILING,ALW,43,42,4.73726407239,-74.0232968736,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3959980283,14.3959980283,51.4142786723,30.8485672034,20.5657114689,18.509140322,20.5657114689,20.5657114689,20.5657114689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C242,CHARBROILING,ALW,33,29,4.64459166667,-74.1478833333,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3672161816,14.5958486302,12.7713675514,9.12240539386,9.12240539386,36.4896215755,18.2448107877,14.5958486302,14.5958486302,12.7713675514,12.7713675514,0.0,0.0
C241,CHARBROILING,ALW,28,31,4.60476388889,-74.1292583333,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0769343985,25.7230852256,11.6923114662,8.18461802632,3.50769343985,3.50769343985,11.6923114662,3.50769343985,3.50769343985,3.50769343985,3.50769343985,3.50769343985,0.0,0.0,0.0
C240,CHARBROILING,ALW,46,39,4.765185,-74.050677,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31033466185,1.31033466185,4.67976664947,2.80785998968,1.87190665979,1.68471599381,1.87190665979,1.87190665979,1.87190665979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C247,CHARBROILING,ALW,27,36,4.59470833333,-74.080375,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8811236842,14.8811236842,53.1468703008,31.8881221805,21.2587481203,19.1328733083,21.2587481203,21.2587481203,21.2587481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C246,WOOD,ALW,25,34,4.57897,-74.100491,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16045724615,3.16045724615,11.2873473077,6.7724083846,4.51493892307,4.06344503076,4.51493892307,4.51493892307,4.51493892307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C245,CHARBROILING,ALW,23,29,4.56237230738,-74.1398613854,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60414645887,1.90970740317,0.868048819622,0.607634173735,0.260414645887,0.260414645887,0.868048819622,0.260414645887,0.260414645887,0.260414645887,0.260414645887,0.260414645887,0.0,0.0,0.0
C244,CHARBROILING,ALW,30,28,4.61711111111,-74.153775,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.7203054512,58.4615573309,26.5734351504,18.6014046053,7.97203054512,7.97203054512,26.5734351504,7.97203054512,7.97203054512,7.97203054512,7.97203054512,7.97203054512,0.0,0.0,0.0
C809,CHARBROILING,ALW,29,37,4.61116932885,-74.0758969555,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0349924811,62.3589944861,28.3449974937,19.8414982456,8.50349924811,8.50349924811,28.3449974937,8.50349924811,8.50349924811,8.50349924811,8.50349924811,8.50349924811,0.0,0.0,0.0
C808,CHARBROILING,ALW,19,32,4.52370994142,-74.1191972402,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61571997937,4.11819465154,1.87190665979,1.31033466185,0.561571997937,0.561571997937,1.87190665979,0.561571997937,0.561571997937,0.561571997937,0.561571997937,0.561571997937,0.0,0.0,0.0
C805,CHARBROILING,ALW,38,41,4.69470667421,-74.0327357742,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.61571997937,4.11819465154,1.87190665979,1.31033466185,0.561571997937,0.561571997937,1.87190665979,0.561571997937,0.561571997937,0.561571997937,0.561571997937,0.561571997937,0.0,0.0,0.0
C804,CHARBROILING,ALW,31,38,4.628453,-74.067191,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31033466185,1.31033466185,4.67976664947,2.80785998968,1.87190665979,1.68471599381,1.87190665979,1.87190665979,1.87190665979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C807,CHARBROILING  WOOD,ALW,26,33,4.589264,-74.108831,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4910678537,63.4267830927,28.8303559512,20.1812491659,8.64910678537,8.64910678537,28.8303559512,8.64910678537,8.64910678537,8.64910678537,8.64910678537,8.64910678537,0.0,0.0,0.0
C801,CHARBROILING,ALW,31,28,4.62567777778,-74.1520555556,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0349924811,62.3589944861,28.3449974937,19.8414982456,8.50349924811,8.50349924811,28.3449974937,8.50349924811,8.50349924811,8.50349924811,8.50349924811,8.50349924811,0.0,0.0,0.0
C800,CHARBROILING,ALW,24,36,4.57139776271,-74.0798491427,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2657466166,28.0615475188,12.7552488722,8.92867421053,3.82657466166,3.82657466166,12.7552488722,3.82657466166,3.82657466166,3.82657466166,3.82657466166,3.82657466166,0.0,0.0,0.0
C803,CHARBROILING,ALW,30,31,4.617334,-74.121506,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.762443609,467.692458647,212.587481203,148.811236842,63.7762443609,63.7762443609,212.587481203,63.7762443609,63.7762443609,63.7762443609,63.7762443609,63.7762443609,0.0,0.0,0.0
C802,CHARBROILING,ALW,29,36,4.61099789725,-74.08308791,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0349924811,62.3589944861,28.3449974937,19.8414982456,8.50349924811,8.50349924811,28.3449974937,8.50349924811,8.50349924811,8.50349924811,8.50349924811,8.50349924811,0.0,0.0,0.0
C760,CHARBROILING,ALW,25,33,4.57845810052,-74.1064695838,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31033466185,1.31033466185,4.67976664947,2.80785998968,1.87190665979,1.68471599381,1.87190665979,1.87190665979,1.87190665979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C739,CHARBROILING,ALW,31,26,4.633983,-74.169877,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8811236842,14.8811236842,53.1468703008,31.8881221805,21.2587481203,19.1328733083,21.2587481203,21.2587481203,21.2587481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C761,WOOD,ALW,29,37,4.610752,-74.075468,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5935.89119588,4352.98687698,1978.63039863,1385.04127904,593.589119588,593.589119588,1978.63039863,593.589119588,593.589119588,593.589119588,593.589119588,593.589119588,0.0,0.0,0.0
C738,CHARBROILING,ALW,36,29,4.67694880337,-74.1408956293,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0209954887,37.4153966917,17.0069984962,11.9048989474,5.10209954887,5.10209954887,17.0069984962,5.10209954887,5.10209954887,5.10209954887,5.10209954887,5.10209954887,0.0,0.0,0.0
C737,CHARBROILING,ALW,42,39,4.73233611111,-74.0528111111,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94041289826,4.35630279206,1.98013763275,1.38609634293,0.594041289826,0.594041289826,1.98013763275,0.594041289826,0.594041289826,0.594041289826,0.594041289826,0.594041289826,0.0,0.0,0.0
C736,CHARBROILING,ALW,42,39,4.732175,-74.0526305556,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38609634293,1.38609634293,4.95034408188,2.97020644913,1.98013763275,1.78212386948,1.98013763275,1.98013763275,1.98013763275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C479,WOOD,ALW,28,37,4.604194,-74.073041,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1785719081,27.1785719081,97.0663282432,58.2397969459,38.8265312973,34.9438781675,38.8265312973,38.8265312973,38.8265312973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C665,WOOD,WKN,33,34,4.65114444444,-74.1002083333,PM25,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6857949505,31.302916297,14.2285983168,9.96001882178,4.26857949505,4.26857949505,14.2285983168,4.26857949505,4.26857949505,4.26857949505,4.26857949505,4.26857949505,0.0,0.0,0.0
