ID,FUELTYPE,WORKEDDAYS,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
C562,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.204436257,327.216586589,148.734812086,104.11436846,44.6204436257,44.6204436257,148.734812086,44.6204436257,44.6204436257,44.6204436257,44.6204436257,44.6204436257,0.0,0.0,0.0
C563,CHARBROILING,ALW,23,33,4.555199,-74.107463,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.6818583,1129.10002942,513.227286101,359.259100271,153.96818583,153.96818583,513.227286101,153.96818583,153.96818583,153.96818583,153.96818583,153.96818583,0.0,0.0,0.0
C249,CHARBROILING,ALW,28,35,4.6054803789,-74.0909372347,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.73753041,660.126682887,577.610847526,412.579176804,412.579176804,1650.31670722,825.158353608,660.126682887,660.126682887,577.610847526,577.610847526,0.0,0.0
C248,CHARBROILING,ALW,35,36,4.66842577464,-74.0797136427,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.33276097,1293.33276097,4619.0455749,2771.42734494,1847.61822996,1662.85640697,1847.61822996,1847.61822996,1847.61822996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C566,CHARBROILING,ALW,39,35,4.698217,-74.093819,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1189.87849668,872.577564236,396.626165562,277.638315893,118.987849668,118.987849668,396.626165562,118.987849668,118.987849668,118.987849668,118.987849668,118.987849668,0.0,0.0,0.0
C567,CHARBROILING,ALW,31,26,4.63409072147,-74.1698222292,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2343.10784181,1718.279084,781.035947271,546.72516309,234.310784181,234.310784181,781.035947271,234.310784181,234.310784181,234.310784181,234.310784181,234.310784181,0.0,0.0,0.0
C564,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.433173178,479.91766033,218.144391059,152.701073741,65.4433173178,65.4433173178,218.144391059,65.4433173178,65.4433173178,65.4433173178,65.4433173178,65.4433173178,0.0,0.0,0.0
C565,CHARBROILING,ALW,22,33,4.54901388889,-74.1091,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.015882422,467.878313776,212.671960807,148.870372565,63.8015882422,63.8015882422,212.671960807,63.8015882422,63.8015882422,63.8015882422,63.8015882422,63.8015882422,0.0,0.0,0.0
C243,CHARBROILING,ALW,43,42,4.73726407239,-74.0232968736,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.39188318,512.39188318,1829.97101136,1097.98260681,731.988404542,658.789564088,731.988404542,731.988404542,731.988404542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C242,CHARBROILING,ALW,33,29,4.64459166667,-74.1478833333,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.303147808,495.095012164,433.208135644,309.434382603,309.434382603,1237.73753041,618.868765205,495.095012164,495.095012164,433.208135644,433.208135644,0.0,0.0
C241,CHARBROILING,ALW,28,31,4.60476388889,-74.1292583333,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.09645265,833.870731941,379.032150882,265.322505618,113.709645265,113.709645265,379.032150882,113.709645265,113.709645265,113.709645265,113.709645265,113.709645265,0.0,0.0,0.0
C240,CHARBROILING,ALW,46,39,4.765185,-74.050677,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.053320256,535.053320256,1910.9047152,1146.54282912,764.361886079,687.925697472,764.361886079,764.361886079,764.361886079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C247,CHARBROILING,ALW,27,36,4.59470833333,-74.080375,CO,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.404555667,482.404555667,1722.8734131,1033.72404786,689.149365238,620.234428715,689.149365238,689.149365238,689.149365238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
