ID,FUELTYPE,WORKEDDAYS,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
C688,CHARBROILING  WOOD,ALW,32,37,4.64106812992,-74.0690864249,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9798649532,60.8519009656,27.6599549844,19.3619684891,8.29798649532,8.29798649532,27.6599549844,8.29798649532,8.29798649532,8.29798649532,8.29798649532,8.29798649532,0.0,0.0,0.0
C683,CHARBROILING,ALW,44,40,4.748141,-74.047794,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8517520858,58.5579515296,26.6172506953,18.6320754867,7.98517520858,7.98517520858,26.6172506953,7.98517520858,7.98517520858,7.98517520858,7.98517520858,7.98517520858,0.0,0.0,0.0
C682,CHARBROILING,ALW,21,35,4.54344842367,-74.088321867,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3373556773,50.8473941634,23.1124518924,16.1787163247,6.93373556773,6.93373556773,23.1124518924,6.93373556773,6.93373556773,6.93373556773,6.93373556773,6.93373556773,0.0,0.0,0.0
C681,CHARBROILING,ALW,37,31,4.68634483214,-74.1301951991,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3373556773,50.8473941634,23.1124518924,16.1787163247,6.93373556773,6.93373556773,23.1124518924,6.93373556773,6.93373556773,6.93373556773,6.93373556773,6.93373556773,0.0,0.0,0.0
C680,WOOD,ALW,32,38,4.63940917415,-74.0649952477,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.389319889,14.2188345853,6.46310662967,4.52417464077,1.9389319889,1.9389319889,6.46310662967,1.9389319889,1.9389319889,1.9389319889,1.9389319889,1.9389319889,0.0,0.0,0.0
C687,CHARBROILING,WKN,25,32,4.58065530906,-74.1166311234,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C686,CHARBROILING,ALW,25,34,4.58020555556,-74.1007277778,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5996179642,13.6531295809,11.9464883833,8.53320598807,8.53320598807,34.1328239523,17.0664119761,13.6531295809,13.6531295809,11.9464883833,11.9464883833,0.0,0.0
C685,CHARBROILING,ALW,16,34,4.49630681177,-74.1019574445,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1141466251,17.1141466251,61.1219522327,36.6731713396,24.4487808931,22.0039028038,24.4487808931,24.4487808931,24.4487808931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C684,CHARBROILING,ALW,28,31,4.60361,-74.124158,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0593004239,27.9101536442,12.6864334746,8.88050343224,3.80593004239,3.80593004239,12.6864334746,3.80593004239,3.80593004239,3.80593004239,3.80593004239,3.80593004239,0.0,0.0,0.0
C89,CHARBROILING  WOOD,ALW,40,31,4.712417,-74.125695,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55612586368,4.55612586368,16.2718780846,9.76312685075,6.50875123384,5.85787611045,6.50875123384,6.50875123384,6.50875123384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C556,CHARBROILING,WKN,37,35,4.68076775192,-74.0939261189,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0728083678,21.0728083678,75.260029885,45.156017931,30.104011954,27.0936107586,30.104011954,30.104011954,30.104011954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C83,CHARBROILING,ALW,41,37,4.72003888889,-74.0704416667,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9703504171,11.7115903059,5.32345013904,3.72641509733,1.59703504171,1.59703504171,5.32345013904,1.59703504171,1.59703504171,1.59703504171,1.59703504171,1.59703504171,0.0,0.0,0.0
C557,CHARBROILING,ALW,36,34,4.67109166667,-74.1004472222,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22012585806,2.22012585806,7.92902092164,4.75741255299,3.17160836866,2.85444753179,3.17160836866,3.17160836866,3.17160836866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C728,CHARBROILING,ALW,40,29,4.71137268733,-74.1403379488,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.925359947,27.8119306278,12.641786649,8.84925065429,3.7925359947,3.7925359947,12.641786649,3.7925359947,3.7925359947,3.7925359947,3.7925359947,3.7925359947,0.0,0.0,0.0
C531,CHARBROILING,ALW,42,35,4.729773,-74.08914,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9647780432,45.4408372316,20.6549260144,14.4584482101,6.19647780432,6.19647780432,20.6549260144,6.19647780432,6.19647780432,6.19647780432,6.19647780432,6.19647780432,0.0,0.0,0.0
C530,CHARBROILING,ALW,35,37,4.666688,-74.06791,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1036621712,18.1036621712,64.6559363259,38.7935617955,25.8623745304,23.2761370773,25.8623745304,25.8623745304,25.8623745304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C533,WOOD,ALW,28,35,4.60444563758,-74.0899662704,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8267826804,10.8729739657,4.94226089348,3.45958262544,1.48267826804,1.48267826804,4.94226089348,1.48267826804,1.48267826804,1.48267826804,1.48267826804,1.48267826804,0.0,0.0,0.0
C532,CHARBROILING,ALW,44,33,4.74351342262,-74.1041613907,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0124898073,24.9424925254,11.3374966024,7.93624762171,3.40124898073,3.40124898073,11.3374966024,3.40124898073,3.40124898073,3.40124898073,3.40124898073,3.40124898073,0.0,0.0,0.0
C535,CHARBROILING,ALW,41,39,4.71620277778,-74.0569194444,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.473470973,115.48054538,52.491156991,36.7438098937,15.7473470973,15.7473470973,52.491156991,15.7473470973,15.7473470973,15.7473470973,15.7473470973,15.7473470973,0.0,0.0,0.0
C534,CHARBROILING,ALW,28,36,4.60043888889,-74.0770416667,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7789287102,13.7789287102,49.2104596791,29.5262758075,19.6841838716,17.7157654845,19.6841838716,19.6841838716,19.6841838716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C537,CHARBROILING,ALW,27,30,4.59826666667,-74.135625,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2090954416,20.2090954416,72.175340863,43.3052045178,28.8701363452,25.9831227107,28.8701363452,28.8701363452,28.8701363452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C536,CHARBROILING,ALW,30,32,4.62134249611,-74.1183893992,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9648811836,22.9648811836,82.0174327986,49.2104596792,32.8069731195,29.5262758075,32.8069731195,32.8069731195,32.8069731195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C539,WOOD,ALW,44,35,4.75060277778,-74.094,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.108539189,12.108539189,43.244782818,25.9468696908,17.2979131272,15.5681218145,17.2979131272,17.2979131272,17.2979131272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C538,CHARBROILING,ALW,26,27,4.58881111111,-74.1633333333,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10460927282,4.10460927282,14.6593188315,8.7955912989,5.8637275326,5.27735477934,5.8637275326,5.8637275326,5.8637275326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C438,CHARBROILING,ALW,30,24,4.618877,-74.189387,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58507198938,4.04537172767,3.53970026171,2.52835732979,2.52835732979,10.1134293192,5.05671465959,4.04537172767,4.04537172767,3.53970026171,3.53970026171,0.0,0.0
C439,CHARBROILING,ALW,44,33,4.74476666667,-74.1096277778,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0124898073,24.9424925254,11.3374966024,7.93624762171,3.40124898073,3.40124898073,11.3374966024,3.40124898073,3.40124898073,3.40124898073,3.40124898073,3.40124898073,0.0,0.0,0.0
C128,CHARBROILING,ALW,41,40,4.72142222222,-74.0412222222,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18595247343,9.18595247343,32.8069731194,19.6841838716,13.1227892478,11.810510323,13.1227892478,13.1227892478,13.1227892478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C129,CHARBROILING,ALW,24,34,4.571167,-74.095925,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5525606674,18.7385444894,8.51752022247,5.96226415573,2.55525606674,2.55525606674,8.51752022247,2.55525606674,2.55525606674,2.55525606674,2.55525606674,2.55525606674,0.0,0.0,0.0
C307,CHARBROILING,ALW,25,34,4.57243220495,-74.0981118179,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3463426792,53.7873179648,24.4487808931,17.1141466251,7.33463426792,7.33463426792,24.4487808931,7.33463426792,7.33463426792,7.33463426792,7.33463426792,7.33463426792,0.0,0.0,0.0
C122,WOOD,ALW,38,31,4.69683860289,-74.1268595891,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18937393815,5.18937393815,18.5334783505,11.1200870103,7.41339134022,6.6720522062,7.41339134022,7.41339134022,7.41339134022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C123,WOOD,ALW,34,38,4.65754638156,-74.0673373847,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5103827079,15.0409473191,6.83679423597,4.78575596518,2.05103827079,2.05103827079,6.83679423597,2.05103827079,2.05103827079,2.05103827079,2.05103827079,2.05103827079,0.0,0.0,0.0
C120,CHARBROILING,ALW,37,35,4.68455,-74.0924361111,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.367861305,303.136431624,137.789287102,96.4525009712,41.3367861305,41.3367861305,137.789287102,41.3367861305,41.3367861305,41.3367861305,41.3367861305,41.3367861305,0.0,0.0,0.0
C121,WOOD,ALW,36,34,4.67491666667,-74.0977472222,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6535653609,21.7459479313,9.88452178696,6.91916525087,2.96535653609,2.96535653609,9.88452178696,2.96535653609,2.96535653609,2.96535653609,2.96535653609,2.96535653609,0.0,0.0,0.0
C126,CHARBROILING,ALW,28,30,4.60090555556,-74.13195,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4871904118,55.3572729686,25.1623968039,17.6136777627,7.54871904118,7.54871904118,25.1623968039,7.54871904118,7.54871904118,7.54871904118,7.54871904118,7.54871904118,0.0,0.0,0.0
C127,CHARBROILING,ALW,43,34,4.74102931497,-74.0960760687,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.104319364,333.743167533,151.701439788,106.191007852,45.5104319364,45.5104319364,151.701439788,45.5104319364,45.5104319364,45.5104319364,45.5104319364,45.5104319364,0.0,0.0,0.0
C124,CHARBROILING,ALW,43,42,4.73897935274,-74.0227481217,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0640550347,25.7136403588,11.6880183449,8.18161284143,3.50640550347,3.50640550347,11.6880183449,3.50640550347,3.50640550347,3.50640550347,3.50640550347,3.50640550347,0.0,0.0,0.0
C125,CHARBROILING  WOOD,ALW,27,33,4.59091968693,-74.107277317,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3619684891,19.3619684891,69.149887461,41.4899324766,27.6599549844,24.8939594859,27.6599549844,27.6599549844,27.6599549844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C657,CHARBROILING,ALW,28,35,4.6060110414,-74.0913091815,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0754168285,16.0754168285,57.412202959,34.4473217754,22.9648811836,20.6683930652,22.9648811836,22.9648811836,22.9648811836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C748,WOOD,ALW,33,38,4.64848356482,-74.0608707805,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45701904326,2.45701904326,8.77506801164,5.26504080699,3.51002720466,3.15902448419,3.51002720466,3.51002720466,3.51002720466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C302,CHARBROILING,ALW,41,39,4.71598333333,-74.0520083333,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.473470973,115.48054538,52.491156991,36.7438098937,15.7473470973,15.7473470973,52.491156991,15.7473470973,15.7473470973,15.7473470973,15.7473470973,15.7473470973,0.0,0.0,0.0
C560,WOOD,ALW,31,36,4.63190277778,-74.0828361111,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66479390528,5.66479390528,20.2314068046,12.1388440828,8.09256272184,7.28330644965,8.09256272184,8.09256272184,8.09256272184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C749,WOOD,ALW,29,34,4.61591482652,-74.102763148,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45958262544,3.45958262544,12.3556522337,7.41339134022,4.94226089348,4.44803480413,4.94226089348,4.94226089348,4.94226089348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C720,CHARBROILING,ALW,42,35,4.72460742318,-74.0892362632,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.824405918,114.824405918,410.087163993,246.052298396,164.034865597,147.631379038,164.034865597,164.034865597,164.034865597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C303,CHARBROILING,ALW,39,32,4.70318099551,-74.1154088895,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.3463426792,53.7873179648,24.4487808931,17.1141466251,7.33463426792,7.33463426792,24.4487808931,7.33463426792,7.33463426792,7.33463426792,7.33463426792,7.33463426792,0.0,0.0,0.0
C300,CHARBROILING,WKN,38,38,4.69186111111,-74.0623555556,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.312035862,66.2288262988,30.104011954,21.0728083678,9.0312035862,9.0312035862,30.104011954,9.0312035862,9.0312035862,9.0312035862,9.0312035862,9.0312035862,0.0,0.0,0.0
C414,CHARBROILING,ALW,45,41,4.759228,-74.037115,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81793540973,7.19981930047,3.27264513658,2.2908515956,0.981793540973,0.981793540973,3.27264513658,0.981793540973,0.981793540973,0.981793540973,0.981793540973,0.981793540973,0.0,0.0,0.0
C301,CHARBROILING,ALW,29,37,4.613777,-74.070144,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1141466251,17.1141466251,61.1219522327,36.6731713396,24.4487808931,22.0039028038,24.4487808931,24.4487808931,24.4487808931,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C93,WOOD,ALW,41,32,4.71559060091,-74.1167376042,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8267826804,10.8729739657,4.94226089348,3.45958262544,1.48267826804,1.48267826804,4.94226089348,1.48267826804,1.48267826804,1.48267826804,1.48267826804,1.48267826804,0.0,0.0,0.0
C92,CHARBROILING,ALW,31,34,4.62764,-74.101118,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10607495774,6.10607495774,21.8074105634,13.084446338,8.72296422534,7.85066780281,8.72296422534,8.72296422534,8.72296422534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C91,CHARBROILING,ALW,41,40,4.72357777778,-74.0459527778,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07940052344,7.07940052344,25.283573298,15.1701439788,10.1134293192,9.10208638728,10.1134293192,10.1134293192,10.1134293192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C90,CHARBROILING,ALW,42,40,4.73284166667,-74.0445027778,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18595247343,9.18595247343,32.8069731194,19.6841838716,13.1227892478,11.810510323,13.1227892478,13.1227892478,13.1227892478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C97,CHARBROILING,ALW,43,34,4.73579230708,-74.101561043,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93624762171,7.93624762171,28.3437415061,17.0062449037,11.3374966024,10.2037469422,11.3374966024,11.3374966024,11.3374966024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C96,WOOD,WKN,24,34,4.56593,-74.10158,NOX,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50891173201,1.50891173201,5.38897047146,3.23338228288,2.15558818858,1.94002936972,2.15558818858,2.15558818858,2.15558818858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
