ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
38,34,4.69066092334,-74.0999955537,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00428914533444,0.00314537324528,0.00142971511148,0.00100080057804,0.000428914533444,0.000428914533444,0.00142971511148,0.000428914533444,0.000428914533444,0.000428914533444,0.000428914533444,0.000428914533444,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000102153030279,7.49122222044e-05,3.40510100931e-05,2.38357070651e-05,1.02153030279e-05,1.02153030279e-05,3.40510100931e-05,1.02153030279e-05,1.02153030279e-05,1.02153030279e-05,1.02153030279e-05,1.02153030279e-05,0.0,0.0,0.0
23,33,4.555199,-74.107463,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273791745185,0.00200780613136,0.000912639150617,0.000638847405431,0.000273791745185,0.000273791745185,0.000912639150617,0.000273791745185,0.000273791745185,0.000273791745185,0.000273791745185,0.000273791745185,0.0,0.0,0.0
28,35,4.6054803789,-74.0909372347,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00214250360075,0.00114266858707,0.000999835013686,0.000714167866917,0.000714167866917,0.00285667146767,0.00142833573384,0.00114266858707,0.00114266858707,0.000999835013686,0.000999835013686,0.0,0.0
35,36,4.66842577464,-74.0797136427,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00229985065957,0.00229985065957,0.00821375235558,0.00492825141336,0.00328550094225,0.002956950848,0.00328550094225,0.00328550094225,0.00328550094225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,35,4.698217,-74.093819,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000272408080744,0.000199765925879,9.08026935814e-05,6.35618855069e-05,2.72408080744e-05,2.72408080744e-05,9.08026935814e-05,2.72408080744e-05,2.72408080744e-05,2.72408080744e-05,2.72408080744e-05,2.72408080744e-05,0.0,0.0,0.0
31,26,4.63409072147,-74.1698222292,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00416659832492,0.00305550543828,0.0013888661083,0.000972206275811,0.000416659832492,0.000416659832492,0.0013888661083,0.000416659832492,0.000416659832492,0.000416659832492,0.000416659832492,0.000416659832492,0.0,0.0,0.0
33,39,4.6517,-74.0545611111,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000149824444409,0.000109871259233,4.99414814697e-05,3.49590370286e-05,1.49824444409e-05,1.49824444409e-05,4.99414814697e-05,1.49824444409e-05,1.49824444409e-05,1.49824444409e-05,1.49824444409e-05,1.49824444409e-05,0.0,0.0,0.0
22,33,4.54901388889,-74.1091,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146065907148,0.000107114998575,4.86886357161e-05,3.40820450011e-05,1.46065907148e-05,1.46065907148e-05,4.86886357161e-05,1.46065907148e-05,1.46065907148e-05,1.46065907148e-05,1.46065907148e-05,1.46065907148e-05,0.0,0.0,0.0
43,42,4.73726407239,-74.0232968736,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000862587046628,0.000862587046628,0.00308066802367,0.0018484008142,0.00123226720947,0.00110904048852,0.00123226720947,0.00123226720947,0.00123226720947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,29,4.64459166667,-74.1478833333,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00160687770056,0.000857001440297,0.000749876260261,0.000535625900186,0.000535625900186,0.00214250360074,0.00107125180037,0.000857001440297,0.000857001440297,0.000749876260261,0.000749876260261,0.0,0.0
28,31,4.60476388889,-74.1292583333,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00202202565767,0.00148281881563,0.000674008552558,0.000471805986792,0.000202202565767,0.000202202565767,0.000674008552558,0.000202202565767,0.000202202565767,0.000202202565767,0.000202202565767,0.000202202565767,0.0,0.0,0.0
46,39,4.765185,-74.050677,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000122493892,0.000122493892,0.000437478185714,0.000262486911428,0.000174991274285,0.000157492146857,0.000174991274285,0.000174991274285,0.000174991274285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36,4.59470833333,-74.080375,VOC_distribution_NHABIL,mol/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000857829066894,0.000857829066894,0.00306367523892,0.00183820514334,0.00122547009556,0.00110292308601,0.00122547009556,0.00122547009556,0.00122547009556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
