ID,COL,CoBChP,CoBP,CoCh,FUELCONSUMPTION,FUELID,FUELTYPE,GROWRATE,LAT,LON,ROW,SOURCETYPE,WDW,YEAR,CO,CO2,NOX,PM10,PM25,PMC,SO2,TOTALCONSUMPTION,VOC,WORKEDDAYS
C562,39,0.0,0.0,0.0,150.0,C,CHARBROILING,0.0562088381942,4.6517,-74.0545611111,33,MEAT CHARBROILING,7,2011,542882.064113,6040207.07642,17364.5558184,2556.74441498,1329.50709579,1227.23731919,38457.6972419,150.0,447.430272621,ALW
C563,33,0.0,0.0,369.105467658,500.0,CC,CHARBROILING,0.0562088381942,4.555199,-74.107463,23,MEAT CHARBROILING,7,2013,1873279.59427,31275961.8241,53506.5137349,111128.022073,57786.5714781,53341.4505952,199132.489261,869.105467658,11992.0784391,ALW
C249,35,452.444229661,0.0,0.0,800.0,CBPC,CHARBROILING,0.0562088381942,4.6054803789,-74.0909372347,28,PEDDLING,7,2011,3011827.99067,50433483.3255,73828.0340301,170752.716347,88791.4125003,81961.3038464,321107.473311,1252.44422966,18768.3315426,ALW
C248,36,0.0,0.0,1328.77968357,1800.0,CC,CHARBROILING,0.0562088381942,4.66842577464,-74.0797136427,35,RESTAURANT,7,2013,6743806.53936,112593462.567,192623.449446,400060.879464,208031.657321,192029.222143,716876.96134,3128.77968357,43171.482381,ALW
C566,35,0.0,0.0,0.0,400.0,C,CHARBROILING,0.0562088381942,4.698217,-74.093819,39,MEAT CHARBROILING,7,2011,1447685.5043,16107218.8705,46305.4821824,6817.9851066,3545.35225543,3272.63285117,102553.859312,400.0,1193.14739366,ALW
C567,26,0.0,0.0,501.983436015,680.0,CC,CHARBROILING,0.0562088381942,4.63409072147,-74.1698222292,31,MEAT CHARBROILING,7,2011,2850781.20754,47596164.7629,81426.9072824,169116.066778,87940.3547244,81175.7120533,303042.407515,1181.98343602,18249.7006631,ALW
C564,39,0.0,0.0,0.0,220.0,C,CHARBROILING,0.0562088381942,4.6517,-74.0545611111,33,MEAT CHARBROILING,7,2011,796227.027366,8858970.37876,25468.0152003,3749.89180863,1949.94374049,1799.94806814,56404.6226215,220.0,656.231066511,ALW
C565,33,0.0,0.0,0.0,240.0,C,CHARBROILING,0.0562088381942,4.54901388889,-74.1091,22,MEAT CHARBROILING,7,2013,776252.656947,8636731.80886,24829.1175593,3655.82099033,1901.02691497,1754.79407536,54989.6407296,240.0,639.768673308,ALW
C243,42,0.0,314.31971107,0.0,800.0,CBP,CHARBROILING,0.0562088381942,4.73726407239,-74.0232968736,43,RESTAURANT,7,2011,2671757.67658,44871478.6947,54606.4217074,144355.474734,75064.8468616,69290.6278723,285694.467194,1114.31971107,16191.9911324,ALW
C242,29,339.333172246,0.0,0.0,600.0,CBPC,CHARBROILING,0.0562088381942,4.64459166667,-74.1478833333,33,PEDDLING,7,2011,2258870.993,37825112.4941,55371.0255226,128064.53726,66593.5593752,61470.9778848,240830.604984,939.333172246,14076.2486569,ALW
C241,31,0.0,0.0,243.609608654,330.0,CC,CHARBROILING,0.0562088381942,4.60476388889,-74.1292583333,28,MEAT CHARBROILING,7,2011,1383467.35072,23098138.782,39515.9991223,82071.0324068,42676.9368515,39394.0955552,147064.697765,573.609608654,8856.47238061,ALW
C240,39,0.0,0.0,0.0,728.729691877,C,CHARBROILING,0.0562088381942,4.765185,-74.050677,46,RESTAURANT,7,2010,2789920.88419,31041179.9935,89238.0502597,13139.3448235,6832.45930823,6306.88551528,197637.645054,728.729691877,2299.38534411,ALW
C247,36,0.0,0.0,442.926561189,600.0,CC,CHARBROILING,0.0562088381942,4.59470833333,-74.080375,27,RESTAURANT,7,2011,2515395.18312,41996615.9672,71847.2711315,149220.058921,77594.4306391,71625.6282823,267390.359572,1042.92656119,16102.6770557,ALW
C246,34,0.0,0.0,0.0,180.0,W,WOOD,0.0562088381942,4.57897,-74.100491,25,RESTAURANT,7,2013,239202.652286,3523786.57801,2901.80791108,31691.3982099,16479.5270692,15211.8711408,414.478704779,180.0,53406.0609373,ALW
C245,29,0.0,0.0,0.0,400.0,C,CHARBROILING,0.0562088381942,4.56237230738,-74.1398613854,23,MEAT CHARBROILING,7,2013,1293754.42825,14394553.0148,41381.8625989,6093.03498389,3168.37819162,2924.65679227,91649.401216,400.0,1066.28112218,ALW
