ID,FUELTYPE,WORKEDDAYS,ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
C428,CHARBROILING,ALW,38,34,4.69066092334,-74.0999955537,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40270.7276398,29531.8669359,13423.5758799,9396.50311596,4027.07276398,4027.07276398,13423.5758799,4027.07276398,4027.07276398,4027.07276398,4027.07276398,4027.07276398,0.0,0.0,0.0
C562,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4964.55376144,3640.67275839,1654.85125381,1158.39587767,496.455376144,496.455376144,1654.85125381,496.455376144,496.455376144,496.455376144,496.455376144,496.455376144,0.0,0.0,0.0
C563,CHARBROILING,ALW,23,33,4.555199,-74.107463,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25706.2699924,18851.2646611,8568.75666414,5998.1296649,2570.62699924,2570.62699924,8568.75666414,2570.62699924,2570.62699924,2570.62699924,2570.62699924,2570.62699924,0.0,0.0,0.0
C249,CHARBROILING,ALW,28,35,4.6054803789,-74.0909372347,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20726.0890379,11053.9141535,9672.17488434,6908.69634596,6908.69634596,27634.7853838,13817.3926919,11053.9141535,11053.9141535,9672.17488434,9672.17488434,0.0,0.0
C248,CHARBROILING,ALW,35,36,4.66842577464,-74.0797136427,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21593.2667937,21593.2667937,77118.8099774,46271.2859864,30847.523991,27762.7715919,30847.523991,30847.523991,30847.523991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C566,CHARBROILING,ALW,39,35,4.698217,-74.093819,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13238.8100305,9708.46068907,4412.93667685,3089.05567379,1323.88100305,1323.88100305,4412.93667685,1323.88100305,1323.88100305,1323.88100305,1323.88100305,1323.88100305,0.0,0.0,0.0
C567,CHARBROILING,ALW,31,26,4.63409072147,-74.1698222292,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39120.1354216,28688.0993091,13040.0451405,9128.03159836,3912.01354216,3912.01354216,13040.0451405,3912.01354216,3912.01354216,3912.01354216,3912.01354216,3912.01354216,0.0,0.0,0.0
C564,CHARBROILING,ALW,33,39,4.6517,-74.0545611111,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7281.34551679,5339.65337898,2427.11517226,1698.98062058,728.134551679,728.134551679,2427.11517226,728.134551679,728.134551679,728.134551679,728.134551679,728.134551679,0.0,0.0,0.0
C565,CHARBROILING,ALW,22,33,4.54901388889,-74.1091,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7098.68367852,5205.70136424,2366.22789284,1656.35952499,709.868367852,709.868367852,2366.22789284,709.868367852,709.868367852,709.868367852,709.868367852,709.868367852,0.0,0.0,0.0
C243,CHARBROILING,ALW,43,42,4.73726407239,-74.0232968736,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8605.48906474,8605.48906474,30733.8895169,18440.3337102,12293.5558068,11064.2002261,12293.5558068,12293.5558068,12293.5558068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C242,CHARBROILING,ALW,33,29,4.64459166667,-74.1478833333,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15544.5667784,8290.43561515,7254.13116325,5181.52225947,5181.52225947,20726.0890379,10363.0445189,8290.43561515,8290.43561515,7254.13116325,7254.13116325,0.0,0.0
C241,CHARBROILING,ALW,28,31,4.60476388889,-74.1292583333,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18984.7716016,13922.1658412,6328.25720055,4429.78004038,1898.47716016,1898.47716016,6328.25720055,1898.47716016,1898.47716016,1898.47716016,1898.47716016,1898.47716016,0.0,0.0,0.0
C240,CHARBROILING,ALW,46,39,4.765185,-74.050677,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5953.10301245,5953.10301245,21261.0821873,12756.6493124,8504.43287493,7653.98958744,8504.43287493,8504.43287493,8504.43287493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C247,CHARBROILING,ALW,27,36,4.59470833333,-74.080375,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8054.14552796,8054.14552796,28764.805457,17258.8832742,11505.9221828,10355.3299645,11505.9221828,11505.9221828,11505.9221828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C246,WOOD,ALW,25,34,4.57897,-74.100491,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.794686194,675.794686194,2413.55245069,1448.13147042,965.420980277,868.878882249,965.420980277,965.420980277,965.420980277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C245,CHARBROILING,ALW,23,29,4.56237230738,-74.1398613854,CO2,g/h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11831.1394642,8676.16894043,3943.71315474,2760.59920832,1183.11394642,1183.11394642,3943.71315474,1183.11394642,1183.11394642,1183.11394642,1183.11394642,1183.11394642,0.0,0.0,0.0
